id,image1Text,image2Text,image3Text
ga821115,I hate mondays.,And just why do I hate mondays?,Because mondays hate me.
ga821116,There's one thing I hate worse than grapefruit.,,And that is hating grapefruit.
ga821117,I hate mornings.,I hate the fuzzy feeling. I hate the cold floors.,I hate the bad breath.
ga821118,I hate cute.,,I also hate people who try to ingratiate themselves.
ga821119,chuking KONK!,I hate toasters.,chuking KRONK
ga821120,I hate hating things.,Check that.,I love hating dogs. PUNT!
ga821122,,"Oh, gee. I can't get into my bed with these muddy feet.",Z
ga821123,I love to sleep. I sleep to restore my energy.,I sleep to refresh my wits.,I sleep to escape.
ga821124,,Z,Garfield! What happened? I had a nap attack at full throttle.
ga821125,"If I were to come back to this earth, I'd like to come back as a pillow.",I could lie in bed all day.,And people would put their heads in my lap and go to sleep.
ga821127,,Z Z,Z Z My feet fell asleep.
ga821128,scratching post.,I wonder if it's worth it. I'll ignore that remark.,"I swear, sometimes I don't know why I keep him."
ga821129,SNAP! SQUEAK! What's that?,"Oh, no! Since I'm not a mouser, Jon set a mousetrap. Now it's killed a mouse!","If you did your job, I wouldn't be in this fix."
ga821130,"I'm sorry you got caught in that mousetrap, mouse. Oh, that's okay. I have a wife and eight kids.",What doest that have to do with anything?,This is the first peace and quiet I've had in years.
ga821201,"Have a piece of cheese, mouse. Maybe that will make you feel better.",,How am I supposed to swallow? Good point.
ga821202,"You're free to go, mouse. Thanks.",Just where have you been? I suppose you and your fat friend have been having fun while I've been working and slaving taking care of our children. You'd better get yourself home right now.,SNAP!
ga821203,Now get out of here.,,SNAP! SQUEAK!
ga821204,,Jon will be checking this trap soon.,My bunny slippers? They like to roam at night.
ga821206,"Don't knock those flowers of the windowsill, Garfield.",I put them there to give them some sun.,And some fresh air.
ga821207,Windows are great. They offer a front row seat to life's passing parade.,THUD!,They are also good for a yuk or two.
ga821208,I see you're bringing the mail in with your usual care.,"This letter says, ""do not fold, spindle or mutilate.""","It didn't say anything about ""maul""."
ga821209,,MY NEWSPAPER! YOU CHEWED UP MY NEWSPAPER!,It's things like this that make me wonder if you should bring in the paper at all. Precisely. poo
ga821210,"On chilly mornings, this is my favorite place in the whole house.",,Over the heat vent.
ga821211,"Garfield, did you eat fern?","WHY IS IT I GET BLAMED FOR EVERYTHING AROUND HERE? IF SOMETHING GOES WRONG, YOU JUST LAY It ON OL' GARFIELD!",I have no idea what you're talking about.
ga821213,BOOM BOOM BOOM,boom boom boom,"It's time you went on another diet, Garfield."
ga821214,"On this diet, Garfield, you may drink all the coffee you please.",gulp gulp gulp,This is some kind of weird diet. slosh slosh slosh slosh
ga821215,I think I'll step off my diet just long enough to eat a couple dozen cookies.,Lettuce?,That cat has no sense of humor.
ga821216,,,You know you're on a diet when even the dog food commercials look good.
ga821217,"You may go off your diet as soon as you loose some weight, Garfield. Why didn't you say so sooner?",BUZZ,Let's eat.
ga821218,Heck with it. I'm going off my diet.,,"Show me a dieter, and I'll show you a person who belittles himself."
ga821220,"Good morning, Garfield. Is there something you're trying to tell me?",,"It's the Christmas season, you say."
ga821221,"Gimme, gimme, gimme, gimme, gimme, gimme, gimme, gimme.",GIMME! GIMME! GIMME! GIMME! GIMME! GIMME!,I'm getting into the Christmas spirit.
ga821222,,,"That's gotta be a world's record! The presents go there. Move it, move it, move it."
ga821223,I hope this gift is mine. rattle rattle rattle,CRACK! tinkle tinkle tinkle,I hope it's Odie's.
ga821224,"It's only noon, Garfield. Are you going to bed already? The sooner you go to bed, the sooner it's Christmas morning.",,"Good night, little fella."
ga821225,Comics readers are very special people. You mean more to me than there is space here to express.,I love you all.,"Have a happy holiday. I'll be funny again tomorrow, trust me."
ga821226,the backyard. CRASH,Take my dog...pleeeze. PLOP,It must have been one of your better nights. I was in rare form.
ga821227,"Well, I wonder what's going to happen to me today.",BLAT!,Monday moves in a mysterious way.
ga821228,"Go fetch the paper, Garfield.","Look closely, Jon. These are cat's paws, not slave's paws.","I'll ignore your small indiscretion this time, and share your life. Thank you...sir."
ga821229,nibble nibble nibble,"It's not to chew your nails, Garfield. Oh, that's okay.",I'm chewing on Odie's.
ga821230,Z,I'm bored. I need to add some sparkle to my life.,Z
ga830103,BRINNNG!,WHAM!,BRINNNG!
ga830104,,"I didn't know that you like to dance, Garfield. What are you talking about?",I was scratching my back with your toothbrush.
ga830105,"Good morning, Odie.","Hey, get away from Jon's stamp collection!",Too late.
ga830106,What should do tonight?,SPLUT,Good idea. I think I'll go sing on the fence.
ga830107,"OH, NO! FIRE ARROWS! THOCK",I'M A GONER! THOCK,A CAT ALWAYS GOES DOWN WITH HIS FENCE!
ga830108,I can't believe that tacky pack of music haters burned my fence down.,The only thing to do is to get right back up there and start singing again.,But...somehow it just isn't the same.
ga830110,SLAM,"Hey, Garfield. I'm home.","You're certainly excited to see me. Believe me, inside I'm hopping up and down and shouting with glee."
ga830111,"So I say to this clerk, ""Look, if the whole bunch of bananas is 54 cents, why can't I have one for 6 cents?",,Don't you want to hear how the story came out? Tell it to your plants.
ga830112,,,"Garfield, you seem to be preoccupied this week. Huh?"
ga830113,"Garfield hasn't been listening to me lately, watch this.","Hey, Garfield, what say we go to the vet and get you declawed?",That would be fine. Case closed.
ga830114,I hate it when Garfield ignores me.,DARN IT! PAY SOME ATTENTION TO ME!,Z I think I'm going to cry.
ga830115,"Jon, I know I've been ignoring you lately, but I want to say it's not because I don't care for you.","It's like my ears hear you, but my brain keeps straying off course. I've just been preoccupied.",Enough said. Let's get on with it. Huh?
ga830117,,,I love it when they entertain me.
ga830118,"It appears Jon has prepared himself a very nice meal, but something is missing. What could it be?","Why, of course...",The cat hair!
ga830119,,,"Okay, okay, I'll turn the heat up."
ga830120,"This is my humble abode, my dear.",,"Who were they? Oh, just a couple of animals I'm giving away soon."
ga830121,"Garfield, sometimes I think you don't like it when I have dates. Absolutely.",Dating leads to marriage. Marriage leads to children.,And do you know what children do to cats?
ga830122,"Hey, Jon, what's happening?","Eat your breakfast, Garfield.",Where's your sense of humor?
ga830124,Playing with a ball of yarn is a great way to get attention.,THOCK!,GARFIELD! Tah dah.
ga830125,"Hey, Garfield, there's a lasagna under the bed!",,"Thanks for dusting under the bed for me, Garfield. I hate you."
ga830127,"Surprise, Garfield! I brought you another rubber mouse. Yippee skip.","By the way, what happened to your last one? It was tragic.",He was caught and eaten by a rubber cat.
ga830128,"Surprise, Garfield! I threw your old bed in the trash and got you this new one. What do you think?",,Z
ga830129,Dogs have the world's stupidest toys. Just look at this rubber bone.,"Simple minds, simple pleasures.",It certainly doesn't hold the scintillating intellectual challenge of my fuzzy scratching post wit the springy rubber mouse.
ga830131,plop!,EEEEEEK!,I'm almost afraid to ask what happened here.
ga830201,QUICK! QUICK! PUT POOKY'S ARM BACK ON!,"Relax, Garfield. I'll fix Pooky right up. It's no big deal.","No big deal?! Look, buster. I've never lost a loved one before."
ga830202,,"I sewed Pooky's arm back on as good as new, Garfield.","Yes, but will he ever play the piano again? Me thinks the cat doth expect too much."
ga830203,You did a pretty good job of sewing Pooky's arm on.,I used small stitches so as not no leave a scar.,I think he's picking on me.
ga830204,"Pooky, when you lost your arm, I got to thinking about our mortality, and that's depressing.","So promise me you'll never lose your arm again, okay?",
ga830205,I wonder what my fortune cookie is.,Today you will be whisked away to a large white building where all you have to do is lie in bed all day as lots of people pay attention to you and bring you food.,That sounds too good to be true.
ga830207,I wonder what awful thing is going to happen to me today? Maybe the sky will fall. Maybe Odie will bring his long lost twin brother home...,,"Or worse yet, maybe Nermal will come for a visit."
ga830208,"Oh sure, you're getting all the attention right now, Nermal, But when you grow up you'll be as unloved as I am.",I'm never growing up. Who are you? Peter Pan or something?,I'm a midget. Some cats get all the luck.
ga830209,"If you want to be cute like me, you have to play wit a ball of yarn. That sounds simple enough.",Yours is over there.,I hate him
ga830210,"Nermal, you're so sweet, why don't I just stuff you into this sugar bowl.","Go ahead and try it, fat boy.","Say, Garfield, Where's Nermal? At a humility lesson."
ga830212,Unk. You've overstayed your welcome.,,"Where's Nermal? You know...I was strange, he muttered ""unk"" and then left without a word."
ga830213,And just when I thought it was safe to go back in the kitchen.,"Garfield, why don't you like to take baths? Bathing robs cats of precious natural oils that protect us from skin disease.",What do you know? Hop in there right now. Let me get
ga830217,"Tell me when the lion is finished eating the villager, okay, Garfield? You can look now.",EEEEEK!,"He wasn't done yet! Oh, I thought you meant the MAIN parts."
ga830218,GOOD! They shot the lion!,"What do you think of those apples, Garfield? Big deal.","At the gun it was villagers:1, lion:42."
ga830221,Z,BARK!,
ga830222,,"Oh, a heat vent.",The next best thing to my sunbeam.
ga830223,,Jogging is much more enjoyable if you have the proper motivation.,Ding Dong ICE CREAM
ga830224,I'd better save some of this blueberry pie for Jon. To eat it all would be inconsiderate and selfish.,,I am what I am.
ga830225,"This is called a bird feeder, Garfield.",And this is called putting birdseed into the bird feeder.,He can call it what he likes. I call it baiting the trap.
ga830226,WOW! LOOK AT ALL THIS GOOD FOOD AND NEAT CLOTHING!,This is great stuff.,"Stay out of the trash, Garfield. How did you know?"
ga830228,I hate mondays.,Maybe if I tore mondays off the calendar there'd be no more mondays. RIP!,
ga830301,There must be an easier way to eat.,"GO AHEAD AND START WITHOUT ME, BREAKFAST.",Burp...I should have thought of that long ago.
ga830302,"What a unique perspective. Noe the ceiling is the floor and the floor is the ceiling. Hi, Garfield.",ZIP,"Whatever goes down, must come up."
ga830303,I wonder whose glasses there are.,,Pablo Picasso's.
ga830304,I feel good today. I feel strong.,I feel invincible. I feel as tall as a skyscraper.,"Get off there, King Kong. ayieeee"
ga830305,*,"Hop up here, Garfield. It's dinner time.","""hop up here,"" he says."
ga830308,"Gee, I hope this package doesn't have a bomb or a monster in it.",GASP! IT'S EVEN WORSE THAN MY MOST HIDEOUS FEARS!,It's another sweater for me from Jon's mother.
ga830309,,scratch scratch scratch scratch scratch,I hate wool sweaters.
ga830310,,There is one thing I like about this sweater.,Z
ga830312,I hate designer sweaters.,Look at this.,The lizard chewed the armpit out of it.
ga830316,Jon sure looks dumb with this fake mustache.,Very few people can wear a mustache.,"Like evil Roy Gato, for instance."
ga830318,"Oh, there you are, Garfield.","Let me guess...you stole my fake mustache and ate my spaghetti, right?",How'd you guess?
ga830319,"Give me a kiss, sweetheart.",KISS,How do you tell a lady her mustache needs more wax?
ga830320,This looks like a good spot to rest. I never saw a spot that wasn't a good spot to rest.,"Well, Garfield, here we are in the great outdoors. It's outdoors, all right, but I'd debate the ""great"".",Just listen to the sounds of nature. Sounds
ga830321,"COME ON, MONDAY! DO IT TO ME NOW! THE SUSPENSE IS KILLING ME!",THOCK,Thank you for your prompt consideration.
ga830322,Did I ever tell you about my uncle Nick? He loves to destroy things. He can shred a recliner in 12 seconds...,Mangle ferns by the carload and turn a set of china into powder in the blink of an eye.,He is presently a postal employee in
ga830323,,"Nice try, Garfield, but I don't buy your stupid watermelon disguise.",RATA TATTA TATTA TATA
ga830324,,"Don't make fun of Odie, Garfield. That's not nice.",That's even less nice.
ga830325,"Come and get it, Garfield.",CRASH!,"Your not a sailplane, you know. Oh, shut up."
ga830326,"Dinnertime, Garfield!",BANZAI,
ga830327,stopped me before. I'll just take a little peek.,,Curiosity mangled the cat.
ga830328,PUNT,This is turning out to be a decent Monday for a change.,POOMP!
ga830329,gobble gobble gobble,"Garfield, you eat too fast. No, I don't.",I'm just overqualified for the job.
ga830330,Garfield will never reach this pie up here.,CHINK,And just where are you going? For my morning scale?
ga830331,ARRRRGH!,What a horrible nightmare! I dreamt I was a dog.,Thank goodness it was only a dream. scratch scratch scratch
ga830401,No more of this sniveling sissy stuff.,I'm getting out of this tree like a man.,"On the other hand, sniveling does have its attributes."
ga830402,I gotta get out of this tree.,"Oh well, they tell me a cat always lands on his feet.","However, THEY failed to mention the pain."
ga830404,"Hey, Garfield, let's take a vacation.",We'll go someplace tropical.,Save your money. Go sit in your aquarium.
ga830405,"Vacation is going to be so great, Garfield.",We'll get away from this rat race. There'll be no hassles.,A change of pace would be nice.
ga830407,"Good news, Garfield! The airline has a special allowing children to fly free. So?","So when you leave on vacation, you can pose as my son and ride up front. I will not demean myself by dressing up as some stupid kid.","Otherwise, you'll have"
ga830408,"I hope you don't mind flying, Garfield.",Some animals don't travel well. Nonsense.,"If a dog can be a World War I flying ace, I can surely fly commercial."
ga830409,"Just bear in mind, Garfield, even though we're leaving on vacation...",And even though we're going to have fun...,It's always nice to get back home.
ga830410,sniff sniff,WE'RE GOING DOWN IN FLAMES!,"We're still on the ground, Garfield. GREAT! CATS AND CHILDREN FIRST!"
ga830411,"Tell me, Garfield.",Are you nervous about flying?,I take no chances.
ga830412,"I think you'll enjoy flying, Garfield.",It's a very comfortable and smooth way to travel.,Then what are these little bags for? The easter egg hunt?
ga830413,No pets allowed. This is my son. He has a body hair problem.,"How old are you, sonny? Rowr.","That's baby talk for ""one going on two""."
ga830414,crunch crunch,"What do you think of airline meals, Garfield? GULP",The only thing with food content was the plastic fork I just ate.
ga830415,,,"The captain has advised that the ""Fasten Seat Belt"" sign be observed in case some slight air turbulence is encountered."
ga830416,"Well, Garfield, how did you like your first airplane ride? Aside from the nausea, cramps and indigestion, I'm fine.",Have a nice day. HAVE A NICE DAY?!,"LET HER LIVE, GARFIELD! LET HER LIVE!"
ga830418,"Do you know what I love about the tropics, Garfield? I have a feeling you're going to tell me.",It's the miles and miles of sparkling beach.,"It may be a beach to you, but it's just a sandbox to me."
ga830419,There's one thing I love about the tropics. grrrr,FLIP!,The tiny dogs.
ga830420,"You don't seem to be having a good time, Garfield. A keen observation.",What's the problem? I tell you what you do.,"Find the biggest, heaviest fur coat you can and put it on. Then go lie in the blazing sun for a few hours and see how many"
ga830421,"Tell me, my little wahine, what do you do? I'll bet you walk along the beach all day, then go home to your little thatched hut at night, right?",I'm a computer programmer from Cleveland.,Close. How about a date? He didn't even blink.
ga830422,"This is the life, isn't it, Garfield? More fun than a cat should have.",Nothing to do but lie here in the sun. Listening to your brain bake.,"Are you bored, Garfield? Is there sand in your swimsuit?"
ga830423,"This is going to upset you, Garfield...",Because I know you've had a great time.,But it's time we think about going home.
ga830426,,,And just what do you think you're doing? Asserting my cathood?
ga830427,"Garfield, why is it cats like to get out at night?",That's when we like to sing on fences.,"In the daylight, we'd be easy targets."
ga830428,"Today is thursday, and that's lasagna day.","Here's your cat food, Garfield. Will there be anything else?",Let me jog your memory.
ga830429,"Why do you have such large teeth, Garfield?","All the better to eat you with, my dear.","Stop that! Obviously, sir, you are not a patron of the classics."
ga830502,"You're too fat, Garfield. Hang it in your ear.","Oh, shut up, Odie.",Why do I have the feeling there's a conspiracy afoot?
ga830503,*,ARRRGH!,It's diet week. It's diet week.
ga830504,,I gotta get off this diet.,It's starting to mess with my mind.
ga830507,,,
ga830509,"Tell me, Garfield, when you walk, do your right and left legs travel together, or do you use your opposing legs?",,I'll never walk again.
ga830510,Z Z Z I wonder how birds can sleep in trees without falling out.,Z Z Z,Z Z Z Aha! ...hammocks.
ga830511,This is the only way to spend a sunny afternoon.,All you need is a swimming pool.,And a good imagination.
ga830512,"I'm going to take a dip in here, so beat it, bird, before I break your beak.",,I have a mouth with a death wish.
ga830513,Take my advice. Sun yourself in a pool. You stay cooler that way.,I shall now turn over in order to tan my back.,This is not well thought out.
ga830514,As much as I hate to do it...,I'd better get out.,Even my fur is getting wrinkled.
ga830517,"Your brother, Doc, has come back to work on the farm. He's here now.","Doc boy! Don't call me ""Doc boy"".",Jon boy! Mom boy! Doc boy! How are you? Oh boy.
ga830518,"What brings you to the farm, Jon? I promised Garfield some good home cooking.",What would you boys like for breakfast?,My guess is Garfield would like some ham and eggs.
ga830519,"Doc, you're looking more like dad all the time.",You take that back!,"SMACK! Hush up, boy. The three stooges live."
ga830520,"You know, Doc, for brothers, we don't look much alike.",It's hard to believe we came from the same place.,"You mean, the farm? The funny farm maybe."
ga830521,Take care now. See you soon. Don't be a stranger.,So long! Bye bye! Bye now. Se yuh.,I can't believe the fuss they make over going to bed. You have a very close family.
ga830522,skitter skitter skitter,That's odd...two little bugs in full Shakespearean dress.,"Romeo, Romeo, wherefore art thou, Romeo? I'm right here, Juliet. I bring bad news, Julie baby. Our families are feuding and don't want us to date anymore."
ga830523,Here comes Arlene. She's crazy about me.,"Hi, Arlene. Hi, bozo.","I'm sure she meant to say, ""Hunk""."
ga830524,Let's go mousing. What's wrong with lasagna?,There's no thrill of pursuit.,"Obviously, you've never snatched one off the table during sundae dinner."
ga830526,"What does the moon remind you of, Garfield?","The moon reminds me of night, and that reminds me of sleep, which reminds me of breakfast...","That wasn't what I had in mind. Then, after breakfast, comes my nap..."
ga830528,"I'll see you, Arlene. It is customary, in human circles, to kiss a lady's hand.","You're not a human, and that's not a hand. That's a hairy paw.","Oil and water, nitro and glycerin, chivalry and realism."
ga830529,of existence.,Prepare to die!,"How did you like my cactus, Garfield? Prepare to die."
ga830530,"I'm going out to a very nice restaurant tonight, Garfield. So you be good while I'm gone.","And, no, you can't come with me.","Who said I wanted to go to your crummy restaurant, anyway?"
ga830531,"Jon is going out without us tonight, Odie.",So you know what to do...,You chew his slippers and I'll destroy his chair.
ga830601,GARFIELD! LOOK WHAT YOU DID TO MY CHAIR!,I DON'T DESERVE THIS!,I was only gone for the evening. Now I know the face. Weren't you a former owner of mine?
ga830602,"Garfield, I know being a cat owner is a big responsibility.",BUT I SHOULD Be ABLE TO LEAVE FOR AN EVENING WITHOUT YOU DESTROYING EVERYTHING!,I WANT A DIVORCE! I get half of everything.
ga830603,,squirt,OKAY! WHO GREASED MY WIENER?
ga830604,"Hey, Garfield, What do you think of the new turtleneck sweater mom made you?",You're right.,"It isn't very flattering, is it?"
ga830606,"Garfield, it's noon. Are you getting out of bed?",I'd love to get up...,But the blanket is extra heavy today.
ga830607,,"Think about a big, juicy bone, Odie.",
ga830608,Z,Z,Z
ga830609,"Garfield, meet my new pet frog, ""Herbie"".","Isn't he great? Yeh, good ol' ""Herbie"".","Good ol' ""your days are numbered as soon as Jon turns his back, Herbie""."
ga860610,zzzzzzzz,"Hey, Garfield, when was the last time you saw my pet frog, Herbie? zzzzz",SNAK! At lunch.
ga830611,It seems like an age since I gave Odie a boot.,BOOT!,I'm just a sentimental fool.
ga830612,while you beat him up. Try and make me.,,How did you know we have an appointment at the vet's? I don't know. I just know.
ga830613,"In this box, I have a singing and dancing mouse. I have spent four years training him. He will now entertain you.",,I guess I should have cut air holes in the box.
ga830615,"Garfield, I hope the sun shines on your birthday.",What a nice thing to say.,I'm going camping. I didn't need that.
ga830616,,"Mother nature has certainly been kind to you, Garfield.",I wish I could say the same for father time.
ga830617,They say the first thing to go on a cat is its hearing.,,Or was that eyesight?
ga830618,"Your birthday gift is inside the card, Garfield.","Someday, my signature will be worth a lot of money!",
ga830620,BARK!,FUMP!,Amoeba Man strikes again.
ga830621,Amoeba Man goes in search of food.,BONK!,Amoeba man should probably cut eyeholes in his exoskeleton.
ga830622,"Amoeba Man spies food, but Amoeba Man has no mouth.",munch munch,"A wonderful thing, osmosis."
ga830623,Ooooh.,Amoeba Man should not have eaten that hamburger so fast.,I have a nucleus ache.
ga830627,"Garfield, I know you're in my fern. I can see your tail.",What do you have to say for yourself?,"Dr. Livingstone, I presume."
ga830628,"Slow down there, ace.","Slow down, in deed.",Jon doesn't realize how much I have to eat to maintain my figure.
ga830629,Bark! Bark! Bark!,"Garfield, get out of the cookie tin.",WHANG!
ga830630,,,
ga830701,Garfield! You ate my raisin cookies!,I thought you didn't like raisins.,I don't.
ga830702,Shoo! Shoo! Go away! I don't like you.,SLURP!,I hate blind devotion.
ga830704,Garfield! I know you're in my fern. I can see your tail.,What do you have to say for yourself?,I say we attack the fort at dawn.
ga830705,I wonder what this is.,,"Ah, a booby trap."
ga830706,,,
ga830707,,There you have it...,"Odie's so stupid, he doesn't even understand the law of gravity."
ga830708,They say hammocks are very relaxing.,,Big deal.
ga830709,,,
ga830711,I could sure use some of Jon's deodorant.,ssst,"How's it going, Garfield? fine, until I found the spray starch in your cabinet."
ga830712,"Go fetch the paper, will you, Garfield? That's what i live for.","Here you are, sahib.","Hey! This paper is all chewed up! Sahib asks fish, paper is wet. Sahib asks cat, paper is holey."
ga830714,,slup slup slup,Drool fuel.
ga830715,Aw...how sweet.,"Wait a minute! I'll bet you want something from me, don't you?","How dare you suggest I trade my affection for selfish reasons! For a bite of that hamburger, I'll forget you said that."
ga830716,"Garfield, I know you're in my fern. I can see your tail.",What do you have to say for yourself?,Arf?
ga830718,"Garfield, I know you're in my fern. I can see your tail.",What do you have to say for yourself?,"Pardon me, sir. Have you seen a tail here around?"
ga830719,"You don't like me, do you? I like you.","No, you don't. I'm crazy about you. I love you.",Now why don't you go play in the blender? SEE?
ga830720,Why don't you like me? You're young and you're cute.,"If I were old and ugly, would you like me? Possibly.",This must be one of the things cats do when they think there are no humans around. Where's my cane? Where's my cane?
ga830721,I hate to do this.,I don't know how I'll get out of this tree.,But at least I'll be away from Nermal.
ga830722,What are you doing up here? Did you come to save me?,"No, I just came to visit.","Well, talk fast. I was just considering leaping to my death."
ga830723,How do we get out of this tree? We jump.,"If that little twerp can jump, so can I.",
ga830725,"Garfield, I know you're in my fern. I can see your tail.",What do you have to say for yourself?,You'll have to speak up. I can't hear you over the band.
ga830726,,"Gee...uh, thanks, Odie. clunk!","What is it, Garfield? I'd wager it would have been easier to recognize before it wandered into traffic."
ga830727,Here comes Odie. His bark is worse than his bite. Bark! Bark!,BARK!,And his breath is worse than his bark.
ga830728,,SPLAT!,Spaghetti can turn on you when it's wounded.
ga830729,"Oh, boy! I love to sluck spaghetti!",SLUCK!,Sorry about that.
ga830730,SLUCK,There's only one irritating thing about slucking spaghetti...,The whiplash.
ga830801,"Garfield, I know you're in my fern. I can see your tail.",What do you have to say for yourself?,"If you must know, I am a rare carnivorous fern, and if you don't mind, I'd like to finish eating your cat in peace."
ga830803,,,"You've been reading ""Alice in Wonderland"" again, haven't you? You must be psychic."
ga830804,RRR,RRR!!!!!,"I want to know why you did that, Garfield! That's not half as interesting as how I got up there to begin with."
ga830805,"Garfield, I want you to get all the mice out of this house, right now! Oh, very well.","Be a good boy and call my attorney, will you?",And have him serve them with an eviction notice.
ga830808,,"OH, NO!",My legs re shrinking!
ga830809,I've really done it this time. My belly has outgrown my legs.,I guess there's only one thing to do...,Get fitted for stilts.
ga830810,* Hummm *,"Oh, no!","You know you're overweight when you're sitting around rocking, and you realize you don't have a rocking chair."
ga830811,"Garfield, you're getting dangerously overweight.",How dangerous can a little extra fat be?,"Who, blub, would, blub, have, blub, guessed?"
ga830812,"Don't worry about your condition, Garfield.",You can still lead a useful and productive life.,"As a paperweight, a doorstop, a... Put your face closer to thee claws."
ga830815,,RIIIP!,Cruelty is second nature to that cat.
ga830816,,,Diet time. Rats.
ga830817,"Happy diet, Garfield. Here's a banana for breakfast.",,Bang!
ga830818,"As long as you're dieting, Garfield, why don't you exercise, too?",Sure...why not?,"As long as the noose is around my neck, I might as well jump off the horse."
ga830819,"Sticking to your diet, Garfield? Yup.",FUMP,But I did eat the pictures out of your cookbook.
ga830820,"You're looking slim there, Garfield. Thanks.",I couldn't find a corset.,So I borrowed one of Jon's tube socks.
ga830822,I can't possibly eat all this food. It's time for a...FOOD FIGHT!,SPLUT!,"You stay out of this, Monday."
ga830823,"Hallo, folks. How do you do? I'm Garfield, the cat. I'll entertain you.",SPLAT!,"You stay out of this, mom."
ga830824,"I just flew in from Pittsburgh and, boy, are my arms tired.",,The guy on the hook must be asleep.
ga830825,I gotta sing! I gotta dance!,BAP! BOP! BIFF!,I gotta be crazy.
ga830826,"Goody, Jon's not around.",Jon stifles my lifestyle.,Put the dog down! He's no fun.
ga830827,,ZIP!,"I don't know how we does it, we jus' does it."
ga830830,"Why is it I'm crazy about you, Garfield? Probably because I'm perfect.","You claw the drapes, shed on the furniture, steal my food and hassle the dog.",Nobody's perfect.
ga830831,Garfield's in for a surprise. I put an alarm on the refrigerator.,That's the first rule for successfully living with a cat.,You must be smarter than the cat.
ga830901,"Given the choice, Garfield, would you rather be rich or famous?","You're talking to a cat here, fella. All I need is a warm lap, some good food and a little attention.",I guess a cat wouldn't care about either. I'd rather be rich.
ga830902,,,"Any last words, Garfield? How about ""Gotcha""?"
ga830903,"Here's some salad and dressing, Garfield. You may mix them to your taste.",gluk gluk gluk,How was it? Could've use more dressing.
ga830905,"Jon must be cleaning the heating grate. I wonder what grates are for, anyway.",OOPS!,"Obviously, they're to keep one's house from eating one's cat."
ga830907,Meyow!,GARFIELD! WHERE ARE YOU? I'm in the plumbing.,WHAT CAN I DO? Just don't flush the toilet.
ga830909,,Unnngh,"Garfield...where are you? Down here in the floor's joists, plotting your untimely demise."
ga830910,Free at last!,There is something to be said for brute force.,It is usually followed by brute stupidity.
ga830912,"Whew, not much room left.",I'll have to decide between the blueberries or cheese for dessert.,I hear the blueberries are lovely this time of year.
ga830913,Why haven't I ever seen talking food before? Because you're as dumb as your look.,"Oh, yeah? Touche.",I can't believe I'm talking to a cheese.
ga830914,I wish I were a cat instead of a mouse.,Never be ashamed of what you are. We must all accept our plight in life and make the best of it.,You're not on the business end of the food chain. Good point.
ga830915,I have a confession to make.,My mother was a lemming. What's a lemming?,A gerbil with suicidal tendencies. My condolences.
ga830916,"So you're half lemming. Yes, my mother always had the urge to cast herself off a cliff into the sea.",AWK!,"Darn you, mom."
ga830917,What the heck are you doing?,"I'm half lemming, you know. So?",I'm getting back to my roots. I had to ask.
ga830919,,Rats.,I used up my eating energy on the getting here.
ga830920,I'm tired of being out of shape.,I can't catch Odie. I can't catch my breath.,"Heck, I can't even catch my lunch."
ga830921,I really don't like myself when I'm out of shape and overweight.,"Well, this time I'm going to do something about it!",I'm going to lower my expectations!
ga830923,hop hop hop,hop,Leg warmers.
ga830924,"Get on your mark, get set...",Jog!,"The spirit is willing, but the flesh is weak."
ga830926,"I'm not one to brag on my teddy bear, but you are not going to believe this.","Okay, Pooky, pay attention now. Are you ready?",Play dead!
ga830927,I'm getting too old to have a teddy bear.,It's not that I feel silly...,It's the peer pressure.
ga830928,"Pooky, I have to start weaning myself from you. I gotta make it out there on my own.",,That's good enough for the first week.
ga830929,I have to break this teddy bear dependency.,,
ga830930,"I've made it a whole day without my teddy bear, but if I don't cuddle something soon, I'll go crazy.",,This sweat sock just isn't the same.
ga831001,POOKY!,So much for kicking the teddy bear habit.,It's unnatural to be near someone you love and not hold them now and then.
ga831003,I hate it when Odie gets caught outside in the rain.,"Not that I care that much for Odie, mind you.",
ga831004,,Here's one of the great mysteries of the universe...,"When Odie closes his mouth, where does his tongue go?"
ga831005,"I wanted to buy you another bed, Garfield. But the only sizes they came in were small, medium and large.",They didn't have showboat!,A quick wit is best accompanied by quick reflexes.
ga831007,Garfield should be finding that rubber hot dog in his bowl right about now.,And he should be coming for me right about...,Now.
ga831008,I think I'll have pancakes for breakfast.,,Once again our nation's criminal element has callously disregarded the truth in packaging laws.
ga831010,Here comes Arlene. She's crazy about me.,"Hi, Arlene.","I said...""Hi, Arlene""."
ga831011,"Hey, Arlene. Guess how much weight I can press.",I'll bet you don't know. I'll bet I don't care.,Right now I'd trade all this strength for just one snappy comeback.
ga831012,"Hey, Arlene. Look at this. So what?","Just what does it take to impress you, lady? A challenge to my head as well as my heart.","As soon as she regains consciousness, I'll challenge the heart part."
ga831014,"Arlene, I'm sick of the witmatching mood you're in.","Okay, I'll stop it. There's no battle of the intellects here anyway.",You're right. It was kind of like swatting a fly with a buick.
ga831015,"How about a kiss, Arlene? What kind of animal are you?",A cat!,"AUUGH! I did it! I did it! She said, ""what kind of animal are you?"" and I said, ""a cat!"""
ga831018,"I am down...down, down, down, down, down.","Down, down, down, dooby doo down, down.","Comma, comma, down dooby doo down, down."
